,SKU,keyword,Category,Mapped keyword
0,"Canada Goose Women's Kensington Parka Coat (X-Small, Admiral Blue)","['canada', 'goose', 'women', 'kensington', 'parka', 'coat', 'x-small', 'admiral', 'blue']","Jackets, Coats, Parkas, and Bombers",parka
1,"Canada Goose Women's Aviator Hat (S M, Black)","['canada', 'goose', 'women', 'aviator', 'hat', 's', 'm', 'black']",Headwear and Neckwear,hat
2,"Canada Goose Mens Carson Parka (Medium, Black)","['canada', 'goose', 'mens', 'carson', 'parka', 'medium', 'black']","Jackets, Coats, Parkas, and Bombers",parka
3,"Canada Goose Expedition Parka (Black, Large)","['canada', 'goose', 'expedition', 'parka', 'black', 'large']","Jackets, Coats, Parkas, and Bombers",parka
4,"Canada Goose Men's Langford Parka,Black,Large","['canada', 'goose', 'men', 'langford', 'parkablacklarge']",,NA
5,"Canada Goose Women's Trillium Parka,Black,X-Small","['canada', 'goose', 'women', 'trillium', 'parkablackx-small']",,NA
6,Canada Goose Women's Rossclair Parka - Black - L,"['canada', 'goose', 'women', 'rossclair', 'parka', '-', 'black', '-', 'l']","Jackets, Coats, Parkas, and Bombers",parka
7,"Canada Goose Expedition Polar Bear International Parka, Royal PBI Blue, Medium","['canada', 'goose', 'expedition', 'polar', 'bear', 'international', 'parka', 'royal', 'pbi', 'blue', 'medium']","Jackets, Coats, Parkas, and Bombers",parka
8,"Canada Goose Women's Victoria Parka,Graphite,Medium","['canada', 'goose', 'women', 'victoria', 'parkagraphitemedium']",,NA
9,"Canada Goose Men's Chilliwack Bomber Parka, Royal PBI Blue, M","['canada', 'goose', 'men', 'chilliwack', 'bomber', 'parka', 'royal', 'pbi', 'blue', 'm']","Jackets, Coats, Parkas, and Bombers",bomber
10,"Canada Goose Women's Shelburne Parka, Black, Small","['canada', 'goose', 'women', 'shelburne', 'parka', 'black', 'small']","Jackets, Coats, Parkas, and Bombers",parka
11,"Canada Goose Men's Wyndham Parka, Black, L","['canada', 'goose', 'men', 'wyndham', 'parka', 'black', 'l']","Jackets, Coats, Parkas, and Bombers",parka
12,Canada Goose Women's Lorette Parka - Limestone - Small,"['canada', 'goose', 'women', 'lorette', 'parka', '-', 'limestone', '-', 'small']","Jackets, Coats, Parkas, and Bombers",parka
13,"Canada Goose Snow Mantra Parka, Navy, Medium","['canada', 'goose', 'snow', 'mantra', 'parka', 'navy', 'medium']","Jackets, Coats, Parkas, and Bombers",parka
14,"Arc'teryx Kyanite LT Hoody Men's | Lightweight Comfortable Performance Stretch Fleece Hoody | Black, X-Large","[""arc'teryx"", 'kyanite', 'lt', 'hoody', 'men', '|', 'lightweight', 'comfortable', 'performance', 'stretch', 'fleece', 'hoody', '|', 'black', 'x-large']","Sweaters, Hoodies, Sweatshirts",fleece
15,"Arc'teryx Cerium LT Hoody Men's | Lightweight Down Hoody for Cool Dry Conditions | Black, Medium","[""arc'teryx"", 'cerium', 'lt', 'hoody', 'men', '|', 'lightweight', 'down', 'hoody', 'for', 'cool', 'dry', 'conditions', '|', 'black', 'medium']","Sweaters, Hoodies, Sweatshirts",hoody
16,"Arc'teryx Covert 1/2 Zip Neck Men's | Casual 1/2 Zip Fleece Pullover | Forage Heather, Large","[""arc'teryx"", 'covert', '1/2', 'zip', 'neck', 'men', '|', 'casual', '1/2', 'zip', 'fleece', 'pullover', '|', 'forage', 'heather', 'large']","Sweaters, Hoodies, Sweatshirts",fleece
17,"Arc'teryx Gamma LT Pant Men's | Lightweight Softshell Pant with Stretch - Redesign | Canvas, Large","[""arc'teryx"", 'gamma', 'lt', 'pant', 'men', '|', 'lightweight', 'softshell', 'pant', 'with', 'stretch', '-', 'redesign', '|', 'canvas', 'large']",Bottoms,pant
18,"Arc'teryx Cormac Zip Neck Shirt LS Men's | Lightweight Zip Neck for Trail Runs and Hiking | Black, XX-Large","[""arc'teryx"", 'cormac', 'zip', 'neck', 'shirt', 'ls', 'men', '|', 'lightweight', 'zip', 'neck', 'for', 'trail', 'runs', 'and', 'hiking', '|', 'black', 'xx-large']",Shirts and Tops,shirt
19,"Arc'teryx Covert Cardigan Men's | Casual Fleece Cardigan with The Look of Wool | Canvas Heather, Large","[""arc'teryx"", 'covert', 'cardigan', 'men', '|', 'casual', 'fleece', 'cardigan', 'with', 'the', 'look', 'of', 'wool', '|', 'canvas', 'heather', 'large']","Sweaters, Hoodies, Sweatshirts",fleece
20,"Arc'teryx Atom LT Hoody Men's | Lightweight Versatile Synthetically Insulated Hoody | Glitch, Medium","[""arc'teryx"", 'atom', 'lt', 'hoody', 'men', '|', 'lightweight', 'versatile', 'synthetically', 'insulated', 'hoody', '|', 'glitch', 'medium']","Sweaters, Hoodies, Sweatshirts",hoody
21,"Arc'teryx Gamma Quick Dry Short 11 Men's | Superlight Technical Hiking Short | Black Sapphire, 32","[""arc'teryx"", 'gamma', 'quick', 'dry', 'short', '11', 'men', '|', 'superlight', 'technical', 'hiking', 'short', '|', 'black', 'sapphire', '32']",,NA
22,"Arc'teryx Skyline Shirt LS Men's | Performance Snap-Front with Advanced Style - Redesign | Canvas, Medium","[""arc'teryx"", 'skyline', 'shirt', 'ls', 'men', '|', 'performance', 'snap-front', 'with', 'advanced', 'style', '-', 'redesign', '|', 'canvas', 'medium']",Shirts and Tops,shirt
23,"Arc'teryx Motus SL Boxer Men's | Superlight Performance Boxer | Black, Medium","[""arc'teryx"", 'motus', 'sl', 'boxer', 'men', '|', 'superlight', 'performance', 'boxer', '|', 'black', 'medium']",,NA
24,"Arc'teryx Gamma SL Pant Men's | Versatile Superlight Technical Pant | Cloud, 30","[""arc'teryx"", 'gamma', 'sl', 'pant', 'men', '|', 'versatile', 'superlight', 'technical', 'pant', '|', 'cloud', '30']",Bottoms,pant
25,"Arc'teryx Delta LT Jacket Women's | Lightweight Versatile Fleece Jacket | Black, Medium","[""arc'teryx"", 'delta', 'lt', 'jacket', 'women', '|', 'lightweight', 'versatile', 'fleece', 'jacket', '|', 'black', 'medium']","Jackets, Coats, Parkas, and Bombers",jacket
26,"Arc'teryx Cerium LT Hoody Men's | Lightweight Down Hoody for Cool Dry Conditions | Conifer, X-Large","[""arc'teryx"", 'cerium', 'lt', 'hoody', 'men', '|', 'lightweight', 'down', 'hoody', 'for', 'cool', 'dry', 'conditions', '|', 'conifer', 'x-large']","Sweaters, Hoodies, Sweatshirts",hoody
27,"Arc'teryx Cormac Crew Neck Shirt LS Men's | Performance Tee for High Output in Hot Weather | Solitude, X-Large","[""arc'teryx"", 'cormac', 'crew', 'neck', 'shirt', 'ls', 'men', '|', 'performance', 'tee', 'for', 'high', 'output', 'in', 'hot', 'weather', '|', 'solitude', 'x-large']",Shirts and Tops,shirt
28,"Arc'teryx Atom LT Vest Men's | Lightweight Versatile Synthetically Insulated Vest | Black, Medium","[""arc'teryx"", 'atom', 'lt', 'vest', 'men', '|', 'lightweight', 'versatile', 'synthetically', 'insulated', 'vest', '|', 'black', 'medium']",Vests,vest
29,"Arc'teryx Skyline Shirt SS Men's | Performance Snap-Front with Advanced Style - Redesign | Black Sapphire, XX-Large","[""arc'teryx"", 'skyline', 'shirt', 'ss', 'men', '|', 'performance', 'snap-front', 'with', 'advanced', 'style', '-', 'redesign', '|', 'black', 'sapphire', 'xx-large']",Shirts and Tops,shirt
30,"Arc'teryx Cormac Hoody Men's | Lightweight Breathable Sun Hoody | Solitude, X-Large","[""arc'teryx"", 'cormac', 'hoody', 'men', '|', 'lightweight', 'breathable', 'sun', 'hoody', '|', 'solitude', 'x-large']","Sweaters, Hoodies, Sweatshirts",hoody
31,"Marmot Magus Men's Lightweight Waterproof Rain Jacket , Jet Black, Large","['marmot', 'magus', 'men', 'lightweight', 'waterproof', 'rain', 'jacket', '', 'jet', 'black', 'large']","Jackets, Coats, Parkas, and Bombers",jacket
32,"Arc'teryx Atom SL Hoody Men's | Superlight Coreloft Insulated Hoody | Revel, Large","[""arc'teryx"", 'atom', 'sl', 'hoody', 'men', '|', 'superlight', 'coreloft', 'insulated', 'hoody', '|', 'revel', 'large']","Sweaters, Hoodies, Sweatshirts",hoody
33,"Arc'teryx Atom LT Jacket Men's | Lightweight Versatile Synthetically Insulated Jacket | Black, X-Large","[""arc'teryx"", 'atom', 'lt', 'jacket', 'men', '|', 'lightweight', 'versatile', 'synthetically', 'insulated', 'jacket', '|', 'black', 'x-large']","Jackets, Coats, Parkas, and Bombers",jacket
